NUM	B/D	DAY	MON	YEA	H	MN	SEC	Ci	TZ	LAT	LON
9029	B	22	09	1861	09	50	40		0	48N50	2E20
9030	D	27	01	1929	12	0	0	01	0	48N50	2E20
9031	B	10	12	1893	16	50	40		0	48N50	2E20
9032	D	23	09	1954	21	15	0	04	-1	48N50	2E20
9033	B	20	01	1903	12	20	40		0	48N50	2E20
9034	D	26	01	1919	12	0	0	00	0	48N50	2E20
9035	B	12	01	1885	20	50	40		0	48N50	2E20
9036	D	15	05	1947	05	45	0	13	-1	48N50	2E20
9037	B	09	06	1922	17	30	0		0	48N50	2E20
9038	D	26	05	1945	04	0	0	03	0	48N50	2E20
9039	B	05	01	1902	05	50	40		0	48N50	2E20
9040	D	10	04	1912	07	0	0	10	0	48N50	2E20
9041	B	22	03	1888	04	50	40		0	48N50	2E20
9042	D	09	08	1942	23	0	0	13	0	48N50	2E20
9043	B	14	10	1912	16	0	0		0	48N50	2E20
9044	D	16	11	1947	17	30	0	08	-1	48N50	2E20
9045	B	05	01	1867	05	50	40		0	48N50	2E20
9046	D	08	10	1946	20	0	0	01	-1	48N50	2E20
9047	B	29	07	1891	0	50	40		0	48N50	2E20
9048	D	24	03	1924	08	0	0	03	0	48N50	2E20
9049	B	14	02	1907	05	20	40		0	48N50	2E20
9050	D	01	12	1935	18	30	0	13	0	48N50	2E20
9051	B	06	01	1914	10	0	0		0	48N50	2E20
9052	D	09	04	1919	10	0	0	07	0	48N50	2E20
9053	B	27	10	1899	02	50	40		0	48N50	2E20
9054	D	24	05	1941	07	0	0	11	0	48N50	2E20
9055	B	25	09	1900	20	20	40		0	48N50	2E20
9056	D	16	08	1927	01	30	0	07	0	48N50	2E20
9057	B	18	08	1884	06	50	40		0	48N50	2E20
9058	D	11	07	1908	03	50	40	03	0	48N50	2E20
9059	B	27	04	1893	06	50	40		0	48N50	2E20
9060	D	01	12	1921	18	25	0	02	0	48N50	2E20
9061	B	07	11	1907	10	50	40		0	48N50	2E20
9062	D	31	03	1912	10	30	0	01	0	48N50	2E20
9063	B	18	02	1891	03	50	40		0	48N50	2E20
9064	D	21	07	1923	03	15	0	00	0	48N50	2E20
9065	B	01	04	1873	07	50	40		0	48N50	2E20
9066	D	21	12	1948	18	0	0	12	-1	48N50	2E20
9067	B	26	04	1946	09	0	0		-1	48N50	2E20
9068	D	06	08	1952	03	0	0	10	-1	48N50	2E20
9069	B	17	11	1867	10	50	40		0	48N50	2E20
9070	D	06	11	1941	19	0	0	15	0	48N50	2E20
9071	B	01	12	1903	09	50	40		0	48N50	2E20
9072	D	13	04	1937	09	30	0	08	0	48N50	2E20
9073	B	29	08	1890	02	50	40		0	48N50	2E20
9074	D	06	04	1921	10	0	0	03	0	48N50	2E20
9075	B	05	04	1881	16	50	40		0	48N50	2E20
9076	D	21	08	1941	01	0	0	05	0	48N50	2E20
9077	B	29	09	1899	06	50	40		0	48N50	2E20
9078	D	28	09	1923	22	30	0	12	0	48N50	2E20
9079	B	21	02	1894	06	20	40		0	48N50	2E20
9080	D	29	04	1955	07	15	0	12	-1	48N50	2E20
9081	B	02	01	1867	15	50	40		0	48N50	2E20
9082	D	23	02	1953	14	20	0	15	-1	48N50	2E20
9083	B	24	03	1885	07	50	40		0	48N50	2E20
9084	D	31	01	1954	15	50	0	05	-1	48N50	2E20
9085	B	21	10	1880	05	50	40		0	48N50	2E20
9086	D	26	12	1949	18	10	0	02	-1	48N50	2E20
9087	B	05	02	1900	16	50	40		0	48N50	2E20
9088	D	02	03	1902	12	50	40	02	0	48N50	2E20
9089	B	28	09	1874	16	50	40		0	48N50	2E20
9090	D	20	02	1927	13	30	0	04	0	48N50	2E20
9091	B	13	07	1880	20	50	40		0	48N50	2E20
9092	D	13	10	1911	22	0	0	06	0	48N50	2E20
9093	B	05	02	1904	21	05	40		0	48N50	2E20
9094	D	29	11	1932	18	50	0	10	0	48N50	2E20
9095	B	25	03	1879	01	50	40		0	48N50	2E20
9096	D	21	03	1937	11	30	0	05	0	48N50	2E20
9097	B	19	03	1904	04	50	40		0	48N50	2E20
9098	D	26	06	1922	05	0	0	02	0	48N50	2E20
9099	B	27	09	1883	01	50	40		0	48N50	2E20
9100	D	04	04	1953	11	25	0	13	-1	48N50	2E20
