PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
S	3492	B	24	5	1849	0	42	0	0	50N23	4E30	HAI	MONS
S	3493	B	5	9	1861	3	42	0	0	50N23	4E30	HAI	GOUY LES PIETON
S	3494	B	18	5	1884	13	43	0	0	50N51	4E15	BRA	ST JOSSE TEN NO
S	3495	B	29	4	1869	6	12	0	0	51N14	4E30	ANT	ANVERS
S	3496	B	3	1	1879	13	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3497	B	17	7	1894	18	0	0	0	50N23	4E30	HAI	CHARLEROI
S	3498	B	9	3	1852	11	8	0	0	50N39	5E30	LIE	LIEGE
S	3499	B	18	2	1815	22	42	0	0	50N23	4E30	HAI	TOURNAI
S	3500	B	8	9	1857	11	8	0	0	50N39	5E30	LIE	LIEGE
S	3501	B	28	1	1818	3	42	0	0	50N23	4E30	HAI	MONS
S	3502	B	19	2	1857	18	2	0	0	51N13	3E15	WVL	OSTENDE
S	3503	B	15	9	1889	4	42	0	0	51N14	4E30	ANT	ESSCHEN
S	3504	B	21	2	1875	2	42	0	0	50N20	4E30	NAM	COUVIN
S	3505	B	17	6	1810	14	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3506	B	7	11	1834	22	38	0	0	50N39	5E30	LIE	LIEGE
S	3507	B	3	7	1807	19	30	0	0	51N 5	3E45	OVL	GAND
S	3508	B	9	3	1894	17	0	0	0	50N51	4E15	BRA	ETTERBEEK
S	3509	B	3	6	1844	0	38	0	0	50N39	5E30	LIE	MARCHIN LEZ HUY
S	3510	B	10	4	1871	0	38	0	0	50N47	5E30	LIM	MAESEYCK
S	3511	B	9	4	1852	15	42	0	0	50N23	4E30	HAI	GOSSELIES
S	3512	B	22	10	1808	2	42	0	0	50N20	4E30	NAM	NAMUR
S	3513	B	11	7	1814	4	43	0	0	50N51	4E15	BRA	LOUVAIN
S	3514	B	13	2	1835	7	45	0	0	51N 5	3E45	OVL	GAND
S	3515	B	15	4	1857	9	42	0	0	50N23	4E30	HAI	LESSINES
S	3516	B	13	10	1881	6	43	0	0	50N51	4E15	BRA	ST JOSSE TEN NO
S	3517	B	25	9	1834	12	45	0	0	51N 5	3E45	OVL	GAND
S	3518	B	8	1	1819	19	42	0	0	50N20	4E30	NAM	NAMUR
S	3519	B	2	12	1833	9	0	0	0	51N 5	3E45	OVL	GAND
S	3520	B	3	3	1807	9	45	0	0	51N 5	3E45	OVL	GAND
S	3521	B	11	5	1845	11	13	0	0	50N51	4E15	BRA	MOLENBEEK
S	3522	B	22	1	1892	10	42	0	0	51N14	4E30	ANT	ANVERS
S	3523	B	20	10	1849	11	42	0	0	50N23	4E30	HAI	FLEURUS
S	3524	B	26	6	1863	0	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3525	B	3	11	1897	16	0	0	0	50N47	5E30	LIM	HASSELT
S	3526	B	11	3	1864	11	42	0	0	50N20	4E30	NAM	GIMNEE
S	3527	B	16	6	1841	12	30	0	0	51N 5	3E45	OVL	GAND
S	3528	B	14	10	1801	20	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3529	B	7	8	1825	6	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3530	B	27	9	1842	0	45	0	0	51N 5	3E45	OVL	RENAIX
S	3531	B	26	6	1876	7	38	0	0	50N39	5E30	LIE	VERVIERS
S	3532	B	6	5	1854	21	15	0	0	51N 5	3E45	OVL	ST NICOLAS
S	3533	B	6	8	1847	21	42	0	0	50N23	4E30	HAI	MONS
S	3534	B	24	8	1846	15	45	0	0	51N 5	3E45	OVL	GAND
S	3535	B	3	12	1866	10	42	0	0	51N14	4E30	ANT	ANVERS
S	3536	B	8	3	1832	8	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3537	B	23	3	1848	7	42	0	0	51N14	4E30	ANT	ANVERS
S	3538	B	16	10	1862	6	38	0	0	50N39	5E30	LIE	HUY
S	3539	B	22	1	1888	21	43	0	0	50N51	4E15	BRA	BEAUVECHAIN
S	3540	B	6	3	1848	15	38	0	0	50N39	5E30	LIE	LIEGE
S	3541	B	21	8	1813	1	43	0	0	50N51	4E15	BRA	LOUVAIN
S	3542	B	29	9	1804	18	39	0	0	50N 2	5E15	LUX	DUDELANGE
S	3543	B	14	6	1889	0	42	0	0	51N14	4E30	ANT	ANVERS
S	3544	B	28	6	1865	6	42	0	0	50N23	4E30	HAI	BRYE LEZ FLEURU
S	3545	B	11	4	1868	8	43	0	0	50N51	4E15	BRA	IXELLES
S	3546	B	30	7	1866	3	43	0	0	50N51	4E15	BRA	ST JOSSE TEN NO
S	3547	B	2	9	1866	16	43	0	0	50N51	4E15	BRA	IXELLES
S	3548	B	24	9	1906	5	0	0	0	50N23	4E30	HAI	RANSART
S	3549	B	9	3	1825	1	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3550	B	8	8	1846	20	43	0	0	50N51	4E15	BRA	LOUVAIN
S	3551	B	16	8	1837	0	47	0	0	51N13	3E15	WVL	YPRES
S	3552	B	22	8	1801	0	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3553	B	8	1	1882	7	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3554	B	27	2	1873	5	42	0	0	50N23	4E30	HAI	PATURAGES
S	3555	B	29	8	1820	1	39	0	0	50N 2	5E15	LUX	DIEKIRCH
S	3556	B	15	8	1866	4	43	0	0	50N51	4E15	BRA	LOUVAIN
S	3557	B	6	4	1827	17	42	0	0	50N20	4E30	NAM	NAMUR
S	3558	B	3	5	1874	0	43	0	0	50N51	4E15	BRA	LOUVAIN
S	3559	B	28	7	1871	17	15	0	0	51N 5	3E45	OVL	GAND
S	3560	B	28	10	1804	13	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3561	B	2	8	1882	16	43	0	0	50N51	4E15	BRA	MALDEREN
S	3562	B	24	9	1880	22	43	0	0	50N51	4E15	BRA	LOUVAIN
S	3563	B	1	3	1850	8	15	0	0	51N 5	3E45	OVL	DESTELDONK
S	3564	B	27	1	1870	3	45	0	0	51N 5	3E45	OVL	GAND
S	3565	B	13	6	1845	22	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3566	B	17	7	1835	19	45	0	0	51N 5	3E45	OVL	MORTZEELE
S	3567	B	19	10	1866	8	43	0	0	50N51	4E15	BRA	ST JOSSE TEN NO
S	3568	B	26	3	1866	0	38	0	0	50N39	5E30	LIE	DISON
S	3569	B	10	10	1843	7	38	0	0	50N39	5E30	LIE	LIEGE
S	3570	B	29	3	1872	12	43	0	0	50N51	4E15	BRA	BRUXELLES
S	3571	N	3	4	1873	2	38	44	0	51N42	5E19	NB	OISTERWIJK
S	3572	N	23	3	1879	23	9	28	0	52N 6	5E 8	U	LEUSDEN
S	3573	N	28	6	1853	12	42	8	0	52N 5	4E28	ZH	S GRAVENHAGE
S	3574	N	3	7	1891	5	39	28	0	52N 6	5E 8	U	UTRECHT
S	3575	N	3	11	1830	9	5	40	0	52N31	6E 5	O	ALMELO
S	3576	N	19	7	1833	9	42	8	0	52N 5	4E28	ZH	ROTTERDAM
S	3577	N	23	1	1892	5	41	28	0	52N22	4E38	NH	A DAM
S	3578	N	20	8	1868	19	12	8	0	52N 5	4E28	ZH	ROTTERDAM
S	3579	N	7	3	1880	11	42	8	0	52N 5	4E28	ZH	DORDRECHT
S	3580	N	10	9	1881	9	37	20	0	50N51	5E40	L	MAASTRICHT
S	3581	N	29	10	1876	21	6	48	0	53N12	5E48	F	HEERENVEEN
S	3582	N	20	9	1886	22	41	28	0	52N22	4E38	NH	MEDEMBLIK
S	3583	N	27	2	1881	3	12	8	0	52N 5	4E28	ZH	OVERSCHIE R DAM
S	3584	N	27	5	1893	3	12	8	0	52N 5	4E28	ZH	S GRAVENHAGE
S	3585	N	19	1	1879	7	6	48	0	53N12	5E48	F	JELSUM LEEUWARD
S	3586	N	13	1	1895	1	6	24	0	51N59	5E54	GE	ARNHEIM
S	3587	N	7	3	1869	5	11	28	0	52N22	4E38	NH	A DAM
S	3588	N	27	5	1883	10	37	20	0	50N51	5E40	L	ROERMOND
