PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
PT	1607	I	19	2	1888	2	50	4	-1	44N24	9E 0	GE	GENOVA
PT	1608	I	14	8	1883	4	40	4	-1	45N12	11E 0	CR	CASTELVERDE
PT	1609	I	19	10	1905	2	0	0	-1	38N 6	15E30	RC	MELICUCCA
PT	1610	I	24	10	1905	5	0	0	-1	41N 6	14E30	CE	SESSA AURUNCA
PT	1611	I	1	6	1893	10	10	4	-1	43N42	11E 0	LU	PICCIORANA
PT	1612	I	16	2	1887	6	10	4	-1	45N24	8E30	VC	BIELLA
PT	1613	I	17	8	1894	11	15	0	-1	37N 0	14E45	RG	SCICLI
PT	1614	I	14	9	1903	8	30	0	-1	39N18	16E30	CS	SPEZZANO ALBANE
PT	1615	I	14	10	1904	13	0	0	-1	45N30	9E15	MI	ABBIATEGRASSO
PT	1616	I	7	11	1919	18	35	0	-1	44N42	12E30	FE	PORTOMAGGIORE
PT	1617	I	20	9	1880	20	25	4	-1	45N 0	9E 0	AL	CASALE MONFERRA
PT	1618	I	12	9	1889	1	10	4	-1	45N36	9E45	BG	BERGAMO
PT	1619	I	1	4	1887	12	10	4	-1	45N36	12E45	TV	TREVISO
PT	1620	I	7	11	1891	6	40	4	-1	45N48	8E 0	AO	AOSTA
PT	1621	I	13	10	1897	17	30	0	-1	44N24	7E15	CN	CAVALLERMAGGIOR
PT	1622	I	20	7	1899	1	0	0	-1	43N 0	13E 0	PG	ASSISI
PT	1623	I	2	8	1883	9	40	4	-1	41N54	12E30	RM	ROMA
PT	1624	I	18	11	1868	21	10	4	-1	45N12	9E 0	PV	COSTA DE NOBILI
PT	1625	I	14	5	1898	7	30	0	-1	45N48	9E15	CO	COMO
PT	1626	I	28	3	1913	3	0	0	-1	41N54	12E30	RM	ROMA
PT	1627	I	23	10	1913	3	0	0	-1	43N 0	13E 0	PG	ASSISI
PT	1628	I	8	2	1897	1	10	0	-1	41N36	14E45	CB	CAROVILLI
PT	1629	I	11	4	1920	15	0	0	-1	40N30	15E45	PZ	POTENZA
PT	1630	I	17	11	1882	4	10	4	-1	43N 0	13E45	AP	MONTEGRANARO
PT	1631	I	18	7	1890	4	17	4	-1	37N 0	15E30	SR	AUGUSTA
PT	1632	I	30	4	1876	1	13	4	-1	37N 0	15E30	SR	AUGUSTA
PT	1633	I	2	8	1909	3	0	0	-1	40N54	14E 0	NA	CASTELCAPUANO
PT	1634	I	22	2	1914	15	40	0	-1	41N 0	15E 0	AV	BONITO
PT	1635	I	4	10	1819	0	6	0	-1	37N12	13E30	AG	RIBERA
PT	1636	I	25	2	1866	14	6	0	-1	42N24	13E30	AQ	PESCASSEROLI
PT	1637	I	26	1	1893	9	40	4	-1	38N 0	13E30	PA	CASTELBUONO
PT	1638	I	27	5	1886	8	10	4	-1	40N36	16E45	MT	MONTESCAGLIOSO
PT	1639	I	13	3	1899	16	30	0	-1	42N24	13E15	RI	ACCUMOLI
