PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
M	2364	F	27	1	1871	2	57	36	0	44N50	0W34	33	BEGLES
M	2365	F	18	9	1835	16	35	12	0	48N42	6E12	54	NANCY
M	2366	F	22	4	1835	4	47	40	0	50N39	3E 5	59	LILLE
M	2367	F	18	2	1836	5	35	16	0	49N 7	6E11	57	ARRY
M	2368	F	27	1	1840	4	6	20	0	47N13	1W35	44	NANTES
M	2369	F	22	2	1850	10	47	40	0	50N39	3E 5	59	LILLE
M	2370	F	27	9	1856	13	50	4	0	48N47	2E29	94	IVRY-S-SEINE
M	2371	F	15	7	1806	10	50	48	0	49N54	2E18	80	AMIENS
M	2372	F	19	1	1842	7	45	32	0	49N34	3E37	02	GUYENCOURT
M	2373	F	5	12	1843	5	59	12	0	48N 1	0E12	72	LE MANS
M	2374	F	16	1	1840	10	29	0	0	48N35	7E45	67	GUNSTETT
M	2375	F	1	1	1836	19	54	16	0	43N37	1E26	31	TOULOUSE
M	2376	F	30	10	1837	5	38	32	0	43N18	5E22	13	MARSEILLE
M	2377	F	13	10	1850	3	50	40	0	48N50	2E20	75	PARIS
M	2378	F	15	8	1866	15	34	8	0	43N32	6E28	83	PIGNANS
M	2379	F	30	3	1835	3	45	32	0	49N34	3E37	02	SOISSONS
M	2380	F	4	12	1864	11	47	40	0	50N39	3E 5	59	LOURCHES
M	2381	F	24	12	1838	19	10	56	0	47N40	2W44	56	GUEMENE
M	2382	F	17	12	1865	12	47	40	0	50N39	3E 5	59	LILLE
M	2383	F	18	3	1845	14	4	40	0	46N 9	1W10	17	LA ROCHELLE
M	2384	F	1	8	1834	1	50	40	0	48N50	2E20	75	PARIS
M	2385	F	25	6	1825	7	50	40	0	48N50	2E20	75	PARIS
M	2386	F	1	8	1840	6	40	40	0	43N57	4E50	84	AVIGNON
M	2387	F	29	11	1863	16	57	36	0	44N50	0W34	33	BORDEAUX
M	2388	F	19	3	1828	3	19	20	0	48N33	2E40	77	TOURNAN
M	2389	F	18	4	1842	10	40	24	0	44N56	4E54	26	MONTELIMAR
M	2390	F	10	8	1843	6	48	56	0	50N18	2E46	62	ARRAS
M	2391	F	17	10	1826	23	50	40	0	48N50	2E20	75	PARIS
M	2392	F	30	10	1838	6	30	36	0	48N 5	7E21	68	GUEMAR
M	2393	F	5	12	1847	15	35	24	0	47N37	6E 9	70	CHENEBIER
M	2394	F	2	11	1844	1	51	28	0	48N50	2E 8	78	VERSAILLES
M	2395	F	17	12	1835	20	29	0	0	48N35	7E45	67	STRASBOURG
M	2396	F	29	11	1811	15	47	40	0	50N39	3E 5	59	DUNKERQUE
M	2397	F	14	11	1841	17	58	40	0	46N35	0E20	86	POITIERS
M	2398	F	24	7	1856	2	47	40	0	50N39	3E 5	59	LILLE
M	2399	F	4	8	1848	4	40	40	0	43N57	4E50	84	AVIGNON
M	2400	F	17	12	1859	1	54	16	0	43N37	1E26	31	COLOMIERS
M	2401	F	4	8	1838	5	52	24	0	47N54	1E54	45	ORLEANS
M	2402	F	15	12	1838	1	51	40	0	49N26	2E 5	60	NOYON
M	2403	F	18	2	1865	19	47	40	0	50N39	3E 5	59	ANZIN
M	2404	F	21	8	1816	16	16	24	0	48N 0	4W 6	29	LANDERNEAU
M	2405	F	23	5	1822	4	29	0	0	48N35	7E45	67	STRASBOURG
M	2406	F	20	12	1829	3	48	56	0	50N18	2E46	62	BETHUNE
M	2407	F	1	2	1827	1	34	8	0	48N10	6E28	88	DARNEY
