PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
M	806	F	17	9	1863	19	46	40	0	48N 7	1W40	35	HEDE
M	807	F	26	8	1884	0	39	52	0	47N19	5E 2	21	FLEURY-S/OUCHE
M	808	F	1	11	1916	4	0	0	0	45N39	0E10	16	ANGOULEME
M	809	F	2	1	1919	22	0	0	0	50N18	2E46	62	CALAIS
M	810	F	13	6	1885	9	42	32	0	48N57	4E22	51	ST-LUMIER-LA PO
M	811	F	21	6	1835	8	25	40	0	49N26	1E 5	76	ROUEN
M	812	F	6	6	1839	8	59	20	0	45N39	0E10	16	ANGOULEME
M	813	F	4	10	1883	9	54	16	0	43N37	1E26	31	TOULOUSE
M	814	F	4	2	1865	11	42	36	0	43N51	4E21	30	ST-HIPPOLYTE-DU
M	815	F	10	11	1873	5	0	0	0	35N50	0W 0	ALG	MOSTAGANEM
M	816	F	30	1	1899	5	50	40	0	43N32	6E28	83	TOULON
M	817	F	8	3	1826	14	11	4	0	49N46	4E44	08	CHARLEVILLE
M	818	F	17	4	1882	8	38	32	0	43N18	5E22	13	MARSEILLE
M	819	F	30	6	1854	2	40	40	0	46N18	4E50	71	CHALON-S-SAONE
M	820	F	9	1	1844	7	41	4	0	49N46	4E44	08	SAULT-LEZ-RETHE
M	821	F	20	2	1815	9	39	52	0	47N19	5E 2	21	DIJON
M	822	F	17	4	1870	3	1	48	0	46N19	0W27	79	SAINT-LOUP-S/TH
M	823	F	31	7	1898	5	50	40	0	44N21	2E34	12	VILLEFRANCHE-DE
M	824	F	10	3	1896	4	50	40	0	48N31	2W45	22	ST-BRIEUC
M	825	F	2	10	1839	8	32	32	0	47N38	6E52	90	BELFORT
M	826	F	4	10	1802	3	54	16	0	43N37	1E26	31	MURET
M	827	F	2	8	1840	14	49	20	0	48N33	2E40	77	PROVINS
M	828	F	15	10	1856	22	52	56	0	45N16	1E46	19	TULLE
M	829	F	28	1	1826	12	16	24	0	48N 0	4W 6	29	CROZON
M	830	F	13	8	1876	15	59	40	0	43N14	0E 5	65	MONLEON-MAGNOAC
M	831	F	10	8	1895	22	50	40	0	48N57	4E22	51	PROSNES
M	832	F	28	1	1865	3	38	32	0	43N18	5E22	13	MARSEILLE
M	833	F	4	6	1899	0	5	40	0	48N31	2W45	22	ST-BRIEUC
M	834	F	1	4	1917	9	45	0	-1	48N35	7E45	67	STRASBOURG
M	835	F	3	1	1829	10	41	4	0	49N46	4E44	08	REMILLY-LES-POT
M	836	F	20	2	1878	5	51	28	0	43N55	2E 8	81	RABASTENS
M	837	F	18	12	1832	22	42	36	0	43N51	4E21	30	ALAIS
M	838	F	10	2	1832	10	35	12	0	48N42	6E12	54	NANCY
M	839	F	28	6	1880	7	47	40	0	50N39	3E 5	59	LILLE
M	840	F	22	2	1823	1	30	36	0	48N 5	7E21	68	VILLAGE-NEUF
M	841	F	9	8	1917	0	0	0	0	46N 9	1W10	17	SAINTES
M	842	F	19	9	1871	15	39	52	0	47N19	5E 2	21	DIJON
M	843	F	2	6	1838	22	44	28	0	43N37	3E53	34	MONTAGNAC
M	844	F	11	3	1842	22	39	28	0	48N 7	5E 8	52	REYNEL
M	845	F	3	12	1863	5	17	8	0	47N28	0W32	49	ANGERS
M	846	F	11	2	1867	21	35	24	0	47N37	6E 9	70	ATTRICOURT
M	847	F	29	11	1848	18	40	24	0	44N56	4E54	26	MONTELIMAR
M	848	F	3	12	1915	2	0	0	0	45N50	1E15	87	LIMOGES
M	849	F	26	9	1861	10	29	0	0	48N35	7E45	67	STRASBOURG
M	850	F	4	8	1917	21	30	0	0	48N33	2E40	77	FONTAINEBLEAU
M	851	F	17	10	1863	8	39	20	0	48N46	5E10	55	VERDUN
M	852	F	8	2	1868	9	47	40	0	45N47	3E 5	63	VIC-LE-COMTE
M	853	F	28	11	1838	0	53	40	0	42N58	1E35	09	PAMIERS
M	854	F	23	5	1851	8	17	40	0	45N47	3E 5	63	BESSE
M	855	F	18	4	1863	2	17	40	0	50N39	3E 5	59	DOUAI
M	856	F	1	3	1839	9	36	20	0	45N34	5E55	73	LA ROCHE-S/FORO
M	857	F	24	12	1800	3	16	24	0	48N 0	4W 6	29	BREST
M	858	F	8	5	1915	21	35	0	0	48N 0	4W 6	29	BREST
M	859	F	14	8	1879	16	16	24	0	48N 0	4W 6	29	BREST
M	860	F	4	7	1846	2	35	12	0	48N42	6E12	54	NANCY
M	861	F	19	9	1917	22	0	0	0	46N 9	1W10	17	FOURAS
M	862	F	9	6	1864	22	37	8	0	45N11	5E43	38	GRENOBLE
M	863	F	18	4	1833	9	42	36	0	43N51	4E21	30	VALLERAUGUE
M	864	F	28	10	1872	4	44	28	0	43N37	3E53	34	MONTPELLIER
M	865	F	11	2	1864	1	51	28	0	48N50	2E 8	78	VERSAILLES
M	866	F	24	4	1856	22	18	56	0	50N18	2E46	62	CAUCHY-LA-TOUR
M	867	F	20	2	1888	3	6	20	0	47N13	1W35	44	PAIMBOEUF
M	868	F	14	12	1918	13	0	0	0	44N 6	6E15	04	BARCELONNETTE
M	869	F	21	6	1823	3	52	0	0	49N 0	2E 0	95	MARINES
M	870	F	23	7	1837	13	41	4	0	49N46	4E44	08	LES-GRANDES-ARM
M	871	F	23	11	1865	16	45	40	0	47N48	3E35	89	CHATEL-GERARD
M	872	F	13	2	1863	18	39	20	0	48N46	5E10	55	DELOUZE
M	873	F	31	10	1877	9	55	56	0	47N40	2W44	56	VANNES
M	874	F	3	10	1835	14	35	16	0	49N 7	6E11	57	MOYENVIC
M	875	F	4	5	1918	9	0	0	0	36N10	3E45	ALG	SETIF
M	876	F	14	11	1822	9	40	16	0	49N 1	1E11	27	BRETEUIL
M	877	F	22	10	1911	2	0	0	0	47N28	0W32	49	LA JUMELLIERE
M	878	F	29	4	1915	22	0	0	0	47N40	2W44	56	VANNES
M	879	F	29	7	1899	10	50	40	0	48N42	6E12	54	MAIZEVILLE
M	880	F	25	1	1865	2	37	8	0	45N11	5E43	38	GRENOBEL
M	881	F	21	9	1896	6	50	40	0	43N32	6E28	83	TOULON
M	882	F	9	4	1846	20	35	40	0	48N50	2E20	75	PARIS
M	883	F	1	2	1862	7	29	0	0	48N35	7E45	67	SELESTAT
M	884	F	6	1	1895	1	50	40	0	43N18	0W22	64	BAYONNE
M	885	F	29	5	1864	19	1	28	0	43N18	0W22	64	BAYONNE
M	886	F	14	11	1874	15	54	28	0	48N 7	5E 8	52	WASSY
M	887	F	27	1	1918	21	0	0	0	50N18	2E46	62	ETAPLES-S/MER
M	888	F	11	4	1879	1	57	36	0	44N50	0W34	33	BORDEAUX
M	889	F	11	10	1857	15	46	40	0	46N34	3E20	03	PARAY-S/BRIAILL
M	890	F	20	4	1808	2	36	40	0	48N 7	1W40	35	SAINT-SERVAN
M	891	F	30	6	1919	9	0	0	0	42N42	2E55	66	MONTLOUIS
M	892	F	20	9	1918	16	0	0	0	47N13	1W35	44	CHATEAUBRIANT
M	893	F	26	1	1859	8	35	16	0	49N 7	6E11	57	METZ
M	894	F	12	8	1833	3	47	40	0	50N39	3E 5	59	BAVAY
M	895	F	8	4	1858	20	34	8	0	43N32	6E28	83	TOULON
M	896	F	4	11	1868	8	6	20	0	47N13	1W35	44	MACHECOUL
M	897	F	15	10	1833	4	46	40	0	46N34	3E20	03	CERILLY
M	898	F	24	12	1831	11	57	12	0	47N24	0E42	37	BOURGUEIL
M	899	F	25	6	1846	10	45	32	0	49N34	3E37	02	LAON
M	900	F	25	4	1864	3	4	40	0	46N 9	1W10	17	JONZAC
M	901	F	17	8	1917	15	0	0	-1	48N35	7E45	67	SAVERNE
M	902	F	15	11	1900	2	0	0	-1	48N35	7E45	67	GUNDERSHOFFEN
M	903	F	6	8	1904	5	50	40	0	47N40	2W44	56	VANNES
M	904	F	23	11	1847	1	34	8	0	48N10	6E28	88	DAMBLIN
M	905	F	20	10	1916	1	0	0	0	45N16	1E46	19	SEGUR-LE-CHATEAU
M	906	F	23	12	1861	13	50	4	0	48N47	2E29	94	ST-MANDE
M	907	F	1	8	1917	21	0	0	0	50N18	2E46	62	BOULOGNE-S-MER
M	908	F	6	1	1833	20	35	16	0	49N 7	6E11	57	MAGNY
M	909	F	22	6	1829	13	50	28	0	47N 5	2E23	18	BOURGES
M	910	F	13	7	1879	22	55	40	0	49N26	1E 5	76	ROUEN
M	911	F	16	6	1840	21	5	52	0	47N15	6E 2	25	BESANCON
M	912	F	30	7	1891	22	20	40	0	48N 7	1W40	35	SAINT-MALO
M	913	F	11	12	1847	22	37	8	0	45N11	5E43	38	BARRAUX
M	914	F	12	4	1807	10	34	40	0	46N 9	1W10	17	ROCHEFORT
M	915	F	6	9	1833	13	36	0	0	44N33	6E 0	05	MONT-DAUPHIN
M	916	F	19	8	1807	16	29	0	0	48N35	7E45	67	WISSEMBOURG
M	917	F	22	7	1880	22	35	12	0	48N42	6E12	54	CONFLANS
M	918	F	7	2	1842	23	36	0	0	44N33	6E 0	05	VEYNES
M	919	F	9	8	1893	19	50	40	0	47N28	0W32	49	ANGERS
M	920	F	24	4	1830	7	49	20	0	48N33	2E40	77	GURCY
M	921	F	31	1	1875	16	31	28	0	49N11	0W22	14	COURSEULLES-S/M
M	922	F	30	11	1882	13	21	40	0	49N26	2E 5	60	ST-LEGER-EN-BRA
M	923	F	13	2	1865	5	58	40	0	46N35	0E20	86	POITIERS
M	924	F	27	4	1842	6	39	20	0	48N46	5E10	55	MONTSEC
M	925	F	22	2	1865	15	16	24	0	48N 0	4W 6	29	QUIMPER
M	926	F	26	11	1892	21	20	40	0	47N40	2W44	56	LORIENT
M	927	F	28	12	1856	17	44	28	0	43N37	3E53	34	MARSEILLAN
M	928	F	9	9	1844	8	11	0	0	48N31	2W45	22	ST-BRIEUC
M	929	F	20	6	1917	10	0	0	0	45N11	5E43	38	GRENOBLE
M	930	F	16	3	1863	17	38	32	0	43N18	5E22	13	MARSEILLE
M	931	F	14	11	1828	4	37	8	0	45N11	5E43	38	ST-ALBIN-DE-V
M	932	F	13	10	1845	9	59	12	0	48N 1	0E12	72	LE MANS
M	933	F	13	10	1879	8	42	28	0	45N26	4E23	42	SAINT-ETIENNE
M	934	F	2	4	1873	16	45	40	0	47N48	3E35	89	THOREY
M	935	F	25	11	1822	13	40	40	0	43N57	4E50	84	L ISLE-S/LA-SOR
M	936	F	10	5	1835	19	7	8	0	45N11	5E43	38	VOREPPE
M	937	F	26	1	1916	20	0	0	0	47N15	6E 2	25	BESANCON
M	938	F	23	1	1829	17	47	40	0	45N47	3E 5	63	JUMEAU-S/ALLIER
M	939	F	5	6	1918	0	30	0	0	46N19	0W27	79	NIORT
M	940	F	3	5	1918	2	0	0	0	43N40	0E36	32	MONTESQUIOU-S/L
M	941	F	8	10	1897	6	50	40	0	43N18	0W22	64	BAYONNE
M	942	F	10	6	1899	8	50	40	0	43N55	2E 8	81	ROQUECOURBE
